Sample_ID	Lontitude	Latitude	Time	Temperature	Salinity	Density	Chl	CDOM	Attenuation	GROUP
F001	-81.81666733	24.433385	0	24.2489	36.3814	1024.613186	762.68	85.37	0.250472365	A
F009	-82.09898533	24.33678167	12.18333333	23.9731	36.4151	1024.721166	833.53	85.02	0.016724021	A
F010	-82.09898533	24.33678167	12.18333333	23.9731	36.4151	1024.721166	833.53	85.02	0.016724021	A
F012	-82.10011433	24.3549385	12.41666667	24.0023	36.4194	1024.715722	819.51	83.78	0.015092189	A
F015	-82.12133567	24.41582733	28.35	24.0023	36.4278	1024.722087	827.39	83.3	0.016580009	A
F016	-82.12344283	24.41741483	28.38333333	24.0043	36.4277	1024.721415	827.34	83.58	0.016761358	A
F023	-82.19958333	24.4165265	32.36666667	24.0272	36.4374	1024.721934	800.12	83.28	0.014577713	A
F025	-82.1928695	24.39570067	32.91666667	24.0132	36.4365	1024.725429	841.32	83.23	0.015305462	A
F028	-82.19565567	24.37790067	33.28333333	24.0226	36.4268	1024.715275	836.19	83.38	0.015334788	A
F029	-82.1996245	24.36602933	33.51666667	24.0151	36.4192	1024.711754	820.05	83.85	0.015793368	A
F033	-82.231626	24.33029333	37.31666667	24.407	36.3894	1024.571716	812.95	83.3	0.025376916	A
F037	-82.21596633	24.29926883	37.75	24.4741	36.3854	1024.548456	821.66	83.22	0.024241175	A
F040	-82.25101717	24.27639517	40.56666667	24.311	36.3664	1024.583182	876.41	83.67	0.026018418	A
F041	-82.247082	24.26946917	40.7	24.5114	36.3775	1024.531215	858.98	82.82	0.026245642	A
F042	-82.24227583	24.26158833	40.88333333	24.4839	36.3753	1024.537852	857.49	82.93	0.023728192	A
F043	-82.23683917	24.25498067	41.08333333	24.5624	36.3739	1024.513075	880.64	82.62	0.024746206	A
F044	-82.23025033	24.247581	41.26666667	24.536	36.372	1024.519619	887.39	82.38	0.028170876	A
F046	-82.223559	24.23867767	41.48333333	24.6367	36.3687	1024.486647	867.08	82.28	0.029361241	A
F047	-82.21587333	24.23050583	41.71666667	24.689	36.3651	1024.468065	870.58	82.93	0.026946106	A
F048	-82.21591817	24.22307467	42.06666667	24.7304	36.3632	1024.45406	840.07	82.48	0.029101738	A
F051	-82.2194675	24.22325583	42.2	24.7245	36.3635	1024.456079	830.83	82.72	0.027927497	A
F052	-82.2787185	24.2156295	44.86666667	24.6269	36.3675	1024.488708	829.1	83.13	0.025858033	A
F053	-82.276	24.20782033	45.08333333	24.6638	36.3658	1024.476238	842.61	82.85	0.028633605	A
F060	-82.23287083	24.16087017	46.43333333	24.7639	36.3665	1024.446378	842.64	83.05	0.027074449	A
F062	-82.22962133	24.1579985	46.51666667	24.7283	36.3651	1024.456135	845.05	82.93	0.027162686	A
F067	-82.2599565	24.12552567	49.1	24.5464	36.384	1024.525559	842.86	83.02	0.025553319	A
F069	-82.2570355	24.109947	49.33333333	24.6285	36.3843	1024.500939	842.93	83.07	0.025804573	A
F075	-82.23166333	24.09759117	50.75	24.8524	36.3556	1024.411198	823.95	82.2	0.013812786	A
F076	-82.232586	24.09836617	50.8	24.8497	36.3562	1024.412474	823.76	82.43	0.013834106	A
F078	-82.237188	24.07372083	56.7	24.4742	36.3911	1024.552741	805.56	83.17	0.012933434	A
F080	-82.22705267	24.05682133	57.03333333	24.3019	36.4144	1024.622266	804.02	83.75	0.014041982	A
F084	-82.220524	24.02043317	58.06666667	24.1391	36.4273	1024.68085	815.76	83.22	0.012936098	A
F085	-82.220524	24.02043317	58.06666667	24.1391	36.4273	1024.68085	815.76	83.22	0.012936098	A
F087	-82.24913933	24.00791583	60.53333333	24.3832	36.4275	1024.607732	795.47	82.62	0.019303781	A
F095	-82.22905417	23.963713	63.03333333	24.3621	36.4264	1024.613251	811.1	82.75	0.01319189	A
F096	-82.2293045	23.96403733	63.08333333	24.3583	36.4258	1024.61394	830.86	83.28	0.013370421	A
F097	-82.22907767	23.94804833	65.08333333	24.4054	36.4361	1024.607557	824.39	83.1	0.013834106	A
F099	-82.217106	23.92855967	65.48333333	24.4292	36.4501	1024.610984	846.83	82.78	0.01496423	A
F101	-82.202814	23.89688083	66.45	24.4271	36.464	1024.622142	786.66	82.48	0.013343774	B
F102	-82.202814	23.89688083	66.45	24.4271	36.464	1024.622142	786.66	82.48	0.013343774	B
F103	-82.1953165	23.881031	66.7	24.5316	36.4442	1024.575603	772.44	82.07	0.013786136	B
F104	-82.18900133	23.86898033	66.9	24.8763	36.4029	1024.439698	778.81	81.43	0.011841174	B
F107	-82.09870917	23.894724	70.98333333	25.4641	36.3071	1024.18674	789.8	80.92	0.017070738	B
F108	-82.0879095	23.89229667	71.11666667	25.5304	36.2973	1024.158811	799.76	81.37	0.016700019	B
F109	-82.06824983	23.887904	71.36666667	25.5552	36.2892	1024.145005	788.14	81.3	0.017204099	B
F127	-81.75355933	23.96572783	79.95	25.9722	36.2386	1023.976869	779.53	82.75	0.000857919	B
F134	-81.6745195	23.9817885	83.75	26.1995	36.2201	1023.89154	774.39	81.67	0.005317809	B
F143	-81.59174667	23.93499817	85.78333333	26.352	36.1961	1023.825333	781.17	82.95	0.01496423	B
F145	-81.5758555	23.91139733	86.08333333	26.4027	36.1962	1023.80938	768.75	82.87	0.01534012	B
GA03_0050										C
GA03_0052										C
GA03_0053										C
GA03_0130										D
GA03_0131										D
GA03_0132										D
GA03_0133										D
GA03_0134										D
GA03_0135										D