#OTU ID	taxonomy	16S-even	16s-mock-even-insilico-v2	16s-mock-staggered-insilico-v2	16S-stag	18S-stag	BLANK	F059	F067	F075	F076	F080	F095	F096	F100	F104	F105	F106	F107	F109	F111	F135	F141	F143	F145	F60	F69	F78	F79	F87	unknown
86cd70d2450e3f44f4a7c543f53008ee	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.9990281100478469	1.0	1.0	1.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e9f376c867c2a1506d5b0996f9839a20	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.00097188995215311	0.0	0.0	0.0	1.0	0.65	0.6796927909624058	0.6957008574711966	0.6408871036180023	0.656038741549662	0.5427956629828483	0.6575062761506276	0.6875053033517183	0.6314358538657604	0.621343685088705	0.4878712770712283	0.6284036799038417	0.6834322070329293	0.7373352855051245	0.7145455296986731	0.6671764397448222	0.693296908315565	0.6980187241454388	0.7185899960614415	0.6186712152098848	0.5998108884605593	0.7344506387515073	1.0	0.5930324295145953	0.7334963325183375
4cab0df7abb88b31989680d38a6e8df1	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902	0.0	0.0	0.0	0.0	0.0	0.0	0.10576521275522702	0.0781595308954828	0.14271166303640634	0.1295826833073323	0.21223389809263166	0.088836820083682	0.05952481968604158	0.13913338997451147	0.1579664248986958	0.2944211937751412	0.16289122093292036	0.11662797695812914	0.05183016105417277	0.08630595626834209	0.12636546360220222	0.09674840085287846	0.11125625952536468	0.08822371012209532	0.1628739027332862	0.17567370985925737	0.040055224480522886	0.0	0.16916497114146908	0.1198044009779951
d089e76cb77366eba904ed413876e849	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.0	0.0	0.0	0.0	0.0	0.0	0.11458378362800617	0.1285028140377759	0.11380158977115216	0.12025481019240769	0.1128125848705789	0.14359832635983263	0.14760288502333474	0.10300764655904843	0.12105424456022065	0.08211775222461501	0.09578845175904951	0.11155532628320866	0.12363103953147878	0.11457859711486794	0.10788254828279298	0.1089752132196162	0.12519050729370781	0.12682158330051202	0.10705717574295184	0.10359311924937266	0.13867286485730762	0.0	0.12554499024207946	0.1466992665036675
44369269b45b7e1a562a501cea30045e	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.0	0.0	0.0	0.0	0.0	0.0	0.031960114699059065	0.029923092789580694	0.03340782438969195	0.03467888715548622	0.02513213696283452	0.03293723849372385	0.03232923207467119	0.02875106202209006	0.03023802226989478	0.026451586688878957	0.03150570939854838	0.03245636660648268	0.029224011713030747	0.02926466333236887	0.02927553963121559	0.027585287846481878	0.0276507729153059	0.03308389129578574	0.027318994328188486	0.027075680983380004	0.03302983170514322	0.0	0.027218369804426358	0.0
b4bde5fabe33a7f864361530153f48ad	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.004654245738411216	0.0033886318767127324	0.008542898362139685	0.006825273010920437	0.016148912612029165	0.005790794979079498	0.0040729741196436145	0.010943075615972813	0.007287090952429598	0.020763073422453374	0.008020895936387593	0.004857707849711976	0.001903367496339678	0.003885421402885132	0.005549244079349821	0.002965085287846482	0.004136729806226867	0.0029539188656951556	0.00977659441694055	0.01207404444121177	0.001433040317366002	0.0	0.010318481916704729	0.0
6fdd688da33b366b837859cad836462a	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902	0.0	0.0	0.0	0.0	0.0	0.0	0.0055620397988443634	0.003609629607802693	0.006166727956776329	0.005687727509100364	0.008878768253702969	0.004719665271966527	0.0028425965210012727	0.009005947323704333	0.00636769162665577	0.014018121977977327	0.00862188525726966	0.006792193276588428	0.002986822840409956	0.0037614185921547557	0.00677269946692301	0.004597547974413646	0.0	0.0	0.009374436632413918	0.010364767065498054	0.0020971321717551247	0.0	0.007058921230743678	0.0
b7cc4a2a1497d150d66b6c791f150f3c	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.004798340033718065	0.003580163243657365	0.002517609119968318	0.0022100884035361414	0.006580734117450435	0.004251046025104603	0.002291047942299533	0.010943075615972813	0.0058228623965675755	0.01279915484945756	0.007466136563265683	0.0025363253374602354	0.0	0.0015707022692514365	0.006729004631652539	0.001799040511727079	0.0028303940779446984	0.0037416305632138637	0.006268114434690963	0.005527875768265629	0.0005767113472326593	0.0	0.003799360544782627	0.0
e2f51f019e9a31b9c3c93e93a2e4b0cb	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902	0.0	0.0	0.0	0.0	0.0	0.0	0.003126846208158619	0.0031676341456227716	0.004016859494780912	0.005915236609464378	0.010863434098648338	0.003514644351464435	0.0028638099278744168	0.012166525063721326	0.00541424047400143	0.01186461338425907	0.006264157921501549	0.002665291032585332	0.0	0.0029347331872855787	0.004325788691776632	0.001799040511727079	0.010015240583496626	0.0	0.0036055525509284298	0.008346365058006329	0.0	0.0	0.004090022007225014	0.0
