OTU	F059	F067	F075	F076	F080	F095	F096	F100	F104	F105	F106	F107	F109	F111	F135	F141	F143	F145	F60	F69	F78	F79	F87
86cd70d2450e3f44f4a7c543f53008ee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ffff43da189c8f5c5a5226237adf1b23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
34f1cadaab104aa231c079cbc0ef050b	0	0	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	6
7d7ff1c54289c9daff337b733aa9b344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
333b8b54e88aa3353756fea6269cab32	40	48	0	35	93	49	36	74	32	56	0	0	0	0	0	21	0	0	134	148	15	0	46
0e4a95f50009ede9d68b1ec4f2c67684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
e2f51f019e9a31b9c3c93e93a2e4b0cb	217	215	142	182	520	105	135	358	159	292	271	62	0	71	99	54	46	0	260	459	0	0	197
4f47b02c9c587975462932dce3a67c93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
8a7770a79bae52153ac364cdd371475d	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
fa8f56301d871fa3b051479131fd3e4c	44	0	32	25	24	0	0	0	0	22	0	24	36	0	0	19	0	0	47	36	0	0	0
695bea8ab774f7c1399165d4ed57ee83	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	5	0	0
1b3de43da43a9830fdeab8bb23a7c161	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12265c6aca2928c2bc9fe71988816516	55	0	22	31	181	39	36	40	160	160	99	14	81	18	4	0	39	0	0	96	18	0	58
5cadb906e927ec37f15cd2b07b7d9da3	363	451	131	186	320	229	334	149	230	114	294	133	238	171	144	178	0	0	335	202	394	0	245
ec69580241158aad3f12477e91f7f503	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
7a1011dfbc8b253cb0032a00e74454e9	280	260	139	125	241	187	267	210	95	57	151	95	164	114	66	89	0	48	229	208	242	0	158
421b608bd9127f78b2aaf5c2b958dda4	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f1082c2a262af650786cc4aa32740a1d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
4b4e842744e2ee3505defcd8dc6e6061	72	77	86	0	64	39	36	0	0	0	92	83	82	0	60	124	0	0	68	0	50	0	56
a4e3ff368afe7c56c1d975c7fe09071e	32	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
4cab0df7abb88b31989680d38a6e8df1	7340	5305	5045	3987	10159	2654	2806	4094	4639	7246	7047	2713	1770	2088	2892	2904	511	448	11745	9661	2292	0	8148
ad7a812323880fdbfb5bb08777efac8e	50	108	44	0	41	43	110	0	68	0	58	26	65	70	0	42	0	0	38	81	97	0	102
0b88d6ab6558fa083b79a2c5d6d208e0	0	0	122	0	382	82	0	0	105	199	192	0	0	60	0	55	0	0	304	216	67	0	281
ab01612534c4cc67db089eb02939250e	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0
f5a97b8e78aed4fdf0e2b99222c12f53	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
45fa0f740a8d97da8eeafaa7397085ec	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
39b5a48e9daec385935116a86f19982e	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
165d53a3627c5b13dc0e4d43a9585b35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	120	0	0	0	0	0	0	0
95ce069bc66e963da77c302f5e758ac5	0	0	0	0	49	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a03e773ae24580976e9d864c7af8dc24	52	34	21	0	64	0	0	0	53	71	52	0	0	0	48	0	0	0	76	56	0	0	58
5d180e219d96c56e7bafa2242b846ea0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ef04494de44f4f7489ba0338581a9e4c	128	121	118	101	147	56	0	57	80	200	250	162	74	114	201	187	0	47	268	190	31	0	62
b66115f6577d0ed411c729023e51c0ae	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
998029e58241e6de5f1cdec2dd0b12f3	91	88	31	43	51	34	61	54	36	0	74	33	53	49	0	28	0	0	83	26	67	0	48
93f178a72eea5198a7d679b5c07cfd6a	489	533	244	0	328	219	441	225	0	0	248	0	211	0	0	206	0	0	494	447	537	0	319
4325162846fc87e501ed84e5334a25a2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0
e9f376c867c2a1506d5b0996f9839a20	47170	47220	22656	20185	25982	19643	32409	18580	18247	12007	27186	15898	25180	17287	15269	20810	3206	3649	44613	32986	42026	18	28564
b138ae474c913cf3b972839a6edf5bcb	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70f77f07bd67b24609e6009689dab02d	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
662bc457ddbf40fcc681dc24570b021f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
88b2d768a42ad85c9f95a303071414a0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
9bd851f67c83e3d109743f07a3db3320	83	68	46	27	73	57	60	141	38	88	92	0	0	30	83	86	19	18	101	103	0	0	104
065be23af7a536e2cd250c58bebe2396	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0faee93453ec8e3ef4745dd73ca8fed4	31	0	0	0	22	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
528ad70a874d62167442f605c9eccb1e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
44369269b45b7e1a562a501cea30045e	2218	2031	1181	1067	1203	984	1524	846	888	651	1363	755	998	708	670	828	127	168	1970	1489	1890	0	1311
238981eea1f9c1a4b5096c044336425c	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
9cdcdb1903f483c5754930c1cccca13b	0	19	0	16	0	0	29	0	0	0	0	0	0	0	0	11	0	0	30	48	0	0	0
b26d6c5c7ec9efd7d76be88c2ef50844	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	14	0	0	0
7ef4b3abd786867ccf148e164dffdcd9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0
e8f29222f020c76708aea31b3c219835	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
eb76b4d8724919b4b94f9d35ef40d7ad	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eaa8d6711f7d29af190a1e21b253c215	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0	0	0	0	0	0	0
7d623f3298d282a0e0e70a81a60d665c	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343d9950851a2bdde210952c7e8b3f8a	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0
c28a1db474603a1b2606fdc5bd5015f3	57	65	45	30	0	22	25	53	19	27	0	0	68	0	35	33	0	22	62	51	48	0	65
9599594fb6cc1783dfe4aa837ab1c78e	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	266	0	0	0	0
1401cfd6a11ecc38fc403120fd9baf85	159	187	66	85	132	104	145	81	44	63	32	29	56	33	63	58	0	0	92	87	196	0	112
d089e76cb77366eba904ed413876e849	7952	8722	4023	3700	5400	4290	6958	3031	3555	2021	4144	2595	4222	2772	2469	3271	575	644	7720	5697	7935	0	6047
a7fb73795a62eb27e56a6fc538cbce3a	305	263	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173
e89291e039fef4bfa12982a64146c5e0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	14
77e1167bf8c3e186e2cb099a921b5b3e	95	71	0	36	26	0	41	36	50	0	40	31	67	59	32	45	0	0	66	69	91	0	0
6fdd688da33b366b837859cad836462a	386	245	218	175	425	141	134	265	187	345	373	158	102	91	155	138	0	0	676	570	120	0	340
31f1c6b0fc2ac518e94e7cadfe7f28a1	308	317	193	134	239	189	219	121	110	83	151	97	138	98	105	164	0	0	327	277	274	0	272
5d1eca5eed8bc208c96c46d29f236b48	101	94	65	54	60	21	81	13	0	0	55	37	34	0	54	39	0	0	117	0	131	0	95
bebd8483a2fd2e0ab2d71db69c11b93d	0	7	0	12	51	9	0	18	0	32	37	5	2	0	0	9	0	0	11	66	0	0	30
769bb7b8b815df7ad7dd38d7838e38f8	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8a5462a824a14d306dbde33ff872bdd0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7feb130a5a48e1ae23a45cb8808c0cac	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4cb94a5fdd6362169c7e117facae9c84	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
73f162ca9f39da18f5563f1538f31c0e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
be3212964e1c1ea8a11b3a9471e00665	0	0	0	0	51	0	0	0	0	25	13	0	0	0	0	0	0	0	27	30	0	0	10
9e324ac8411f0e05f9b302f1d69e1320	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b619d4cb3d36316afce01ba14074d920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
e2db2bb24a2a014fd3873bd804d4f5f7	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b4bde5fabe33a7f864361530153f48ad	323	230	302	210	773	173	192	322	214	511	347	113	65	94	127	89	19	15	705	664	82	0	497
dc0670100beca51c16997054a2041de7	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	68	0	0	0
12410564eef73c3c877af2b6ea638ba2	78	139	59	0	72	124	121	0	0	0	0	0	0	0	63	166	38	0	88	0	119	0	150
3084a03c0b26467790381aa0c0898e89	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e4d8cf734e48159555ddca238ff9233a	59	46	34	17	26	15	31	22	0	0	0	0	0	0	0	0	0	0	46	88	29	0	25
cba28c99144c4dc44a46b6a6473ae2ee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
b7cc4a2a1497d150d66b6c791f150f3c	333	243	89	68	315	127	108	322	171	315	323	59	0	38	154	54	13	19	452	304	33	0	183
7fb7e3a6e8bd84ce6ff8d60b7927ab60	0	0	3	0	0	0	0	0	0	0	22	0	0	7	0	0	0	0	0	0	0	0	0
60f53e84b4ab35530ef79eccb7048bf8	0	0	0	0	41	0	0	78	0	0	0	0	0	0	0	0	0	0	0	49	0	0	49
9217ff61f862e2101f0b2a4302b25825	0	15	0	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
8d8eadb7ed144636f80cc40867e002aa	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bde39435b38913d48488e7e338a8c613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0
912dc151e3ecdf57069e8103e82ca984	430	438	187	223	262	233	333	223	178	0	220	134	263	176	0	179	0	0	471	420	386	0	236